Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Charters Towers
Report Date: 11/09/2024
Comparison Date: 04/09/2024
Total Yarding: 2328 (-1386)
Commentary
"The recent uplift in prices has seen a significant increase in the supply of cattle, resulting in a prime only sale with 2328 cattle penned. Quality was mixed, however there were several large lines of good quality heavy bullocks and cows. All processors were in attendance and operating, supported by one live exporter and regular feeders. Cattle were drawn from Mt Isa, Burketown, Mt Garnet, Hughenden local and coastal areas. 

There was only a limited number of yearling cattle due to a store sale being held on Friday. Processor demand  was strong throughout, although most categories eased on last week’s gains primarily due to the increased supply and some pens lacking weight. Grown steers eased 15c, heifers averaged 6c to 22c lower, heavy bullocks fell 17c, medium weight cows averaged 3c to 16c lower, however heavy bulls to processors improved by up to 20c/kg. 

A small sample of yearling heifers above 280kg to processors sold to 260c to average 258c, heifers above 330kg to feed averaged 257c, while heifers above 400kg to the trade sold to 278c to average 276c/kg. 

Grown steers above 400kg to feed sold to 282c, trade types made to 318c to average 294c/kg. Increased numbers of heavy grown steers above 500kg to processors reached 320c to average 308c and a good sample of steers above 600kg also topped at 320c to average 312c/kg. Mixed quality small lines of grown heifers to the trade sold to 268c to average 248c to 266c/kg.

Heavy full mouthed bullocks to export slaughter topped at 328c to average 307c, lighter bullocks averaged 295c/kg. Lightweight 2 score cows to processors made to 252c to average 247c, 3 scores averaged 252c/kg. Medium weight 2 score cows sold to an isolated 275c, most 240c to 250c, 3 scores reached 288c to average 263c to 273c/kg. A good number of prime heavyweight 3 and 4 score cows sold to 288c to average 273c to 280c/kg. Heavy bulls to live export 286c, averaging 253c to 263c, processor bulls reached 298c to average 238c to 268c/kg.

A small number of cows and calves sold for $775per unit.

Approximately 2,200 cattle have been booked for a store sale on Friday.

Market Reporter, Mick Kingham"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,400+,Feeder,C,2,8,-33,290.0,290.0,290,-14.6,547.2,547.2,547.2,1261.5,1261.5,1261.5
Yearling Heifer,280-330,Processor,D,2,32,15,250.0,260.0,258.125,-2.7,480.8,500.0,496.4,806.0,825.0,809.5625
Yearling Heifer,330-400,Feeder,D,2,34,NQ,256.0,262.0,257.4117647058824,NQ,492.3,503.8,495.0,890.8,896.0,894.7764677159927
Yearling Heifer,330-400,Processor,C,2,1,-30,274.0,274.0,274,7.6,526.9,526.9,526.9,917.9,917.9,917.9000244140625
Yearling Heifer,400+,Processor,C,3,29,25,260.0,278.0,275.51724137931035,-22.5,490.6,524.5,519.8,1079.0,1195.4,1179.344827586207
Manufacturing Steer,0-540,Feeder,D,2,1,NQ,206.0,206.0,206,NQ,396.2,396.2,396.2,885.8,885.8,885.7999877929688
Manufacturing Steer,0-540,Processor,C,2,4,NQ,304.0,304.0,304,NQ,573.6,573.6,573.6,1641.6,1641.6,1641.5999755859375
Manufacturing Steer,0-540,Processor,C,3,9,3,308.0,308.0,308,-12.0,570.4,570.4,570.4,1478.4,1478.4,1478.4000651041667
Manufacturing Steer,0-540,Processor,D,1,6,NQ,230.0,270.0,256.6666666666667,NQ,451.0,529.4,503.3,839.5,1053.0,981.8333333333334
Manufacturing Steer,0-540,Processor,D,2,21,19,240.0,296.0,255.61904761904762,-9.4,461.5,569.2,491.6,1036.8,1257.6,1152.8619152250744
Manufacturing Steer,0-540,Processor,D,3,57,-7,240.0,314.0,294.87719298245617,-17.0,452.8,592.5,557.5,1164.8,1695.6,1472.9368682325933
Manufacturing Steer,0-540,Processor,E,2,4,NQ,228.0,250.0,233.5,NQ,438.5,480.8,449.0,925.0,1208.4,1137.550048828125
Manufacturing Steer,0-540,Processor,E,3,1,NQ,200.0,200.0,200,NQ,377.4,377.4,377.4,1080.0,1080.0,1080
Manufacturing Steer,540+,Processor,C,3,10,NQ,305.0,305.0,305,NQ,564.8,564.8,564.8,1906.3,1906.3,1906.25
Manufacturing Steer,540+,Processor,C,4,14,1,290.0,302.0,293.42857142857144,-30.6,527.3,559.3,536.4,1645.9,2392.5,2179.185721261161
Manufacturing Steer,540+,Processor,D,3,118,106,214.0,328.0,307.4406779661017,-17.1,411.5,607.4,572.5,1305.4,2009.6,1753.8855963238216
Grown Steer,0-400,Processor,D,2,4,-11,200.0,258.0,235,-40.6,384.6,496.2,451.9,780.0,967.5,888.7749938964844
Grown Steer,0-400,Processor,E,2,3,NQ,220.0,220.0,220,NQ,431.4,431.4,431.4,825.0,825.0,825
