Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Bairnsdale
Report Date: 02/05/2024
Comparison Date: 18/04/2024
Total Yarding: 752 (-40)
Commentary
"There were approximately 700 export and 50 young cattle penned representing a decrease of 40 head from the sale of a fortnight ago. Most of the usual buyers were present and operating in a dearer market. Quality was good in places, although limited, with cows representing more than half of the sale. Trade cattle were in short supply. Grown cattle improved from 35c to 55c/kg. Cows lifted 20c to 35c/kg. Heavy bulls gained 17c/kg. 

A handful of young steers and heifers sold to restockers from 200c to 260c/kg. Grown steers and bullocks made between 260c and 310c/kg. Heavy grown heifers showing good finish sold between 275c and 310c/kg. 

Heavy Friesian manufacturing steers made from 210c to 250c with the crossbred portion from 227c to 258c/kg. Most light and medium weight cows sold from 110c to 232c/kg. Heavy weight cows made mostly between 180c and 275c/kg. Heavy bulls sold between 224c and 256c/kg. 

Market reporter: Brendan Fletcher."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,400+,Restocker,C,2,1,NC,250.0,250.0,250,20.0,463.0,463.0,463.0,1025.0,1025.0,1025
Yearling Steer,400+,Restocker,D,1,3,NQ,244.0,244.0,244,NQ,460.4,460.4,460.4,1117.5,1117.5,1117.52001953125
Yearling Heifer,330-400,Restocker,D,2,2,NQ,256.0,256.0,256,NQ,492.3,492.3,492.3,985.6,985.6,985.5999755859375
Yearling Heifer,400+,Processor,B,2,1,NQ,310.0,310.0,310,NQ,534.5,534.5,534.5,1457.0,1457.0,1457
Yearling Heifer,400+,Processor,D,2,9,7,250.0,255.0,251.11111111111111,31.1,471.7,481.1,473.8,1180.0,1193.4,1182.977783203125
Yearling Heifer,400+,Restocker,C,2,1,NQ,255.0,255.0,255,NQ,481.1,481.1,481.1,1147.5,1147.5,1147.5
Yearling Heifer,400+,Restocker,D,2,2,1,200.0,200.0,200,-30.0,384.6,384.6,384.6,826.0,826.0,826
Yearling Heifer,400+,Restocker,D,3,1,NQ,240.0,240.0,240,NQ,444.4,444.4,444.4,1080.0,1080.0,1080
Manufacturing Steer,0-540,Dairy,E,1,2,1,197.0,197.0,197,77.0,428.3,428.3,428.3,1063.8,1063.8,1063.800048828125
Manufacturing Steer,540+,Dairy,D,1,1,-2,210.0,210.0,210,27.7,420.0,420.0,420.0,1249.5,1249.5,1249.5
Manufacturing Steer,540+,Dairy,D,2,8,6,233.0,250.0,247.875,35.9,439.6,480.8,475.6,1640.0,1677.6,1644.6999969482422
Manufacturing Steer,540+,Processor,D,2,10,1,236.0,258.0,253.6,53.2,453.8,486.8,480.2,1434.9,1648.6,1605.8719970703125
Manufacturing Steer,540+,Processor,D,3,2,-16,250.0,252.0,251,-3.8,463.0,466.7,464.8,1600.2,1875.0,1737.5999755859375
Manufacturing Steer,540+,Processor,D,4,29,21,227.0,248.0,241.10344827586206,43.6,420.4,467.9,449.8,1515.3,2143.8,1810.8010169719828
Grown Steer,400-500,Restocker,C,2,3,NQ,260.0,278.0,272,NQ,481.5,514.8,503.7,1300.0,1348.3,1332.2000325520833
Grown Steer,500-600,Processor,B,2,1,NQ,310.0,310.0,310,NQ,534.5,534.5,534.5,1844.5,1844.5,1844.5
Grown Steer,500-600,Processor,C,2,4,3,283.0,283.0,283,53.0,524.1,524.1,524.1,1647.1,1647.1,1647.06005859375
