Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Blackall
Report Date: 26/09/2024
Comparison Date: 12/09/2024
Total Yarding: 6400 (+4700)
Commentary
"Blackall combined agents yarded 6,400 head of cattle for the September weaner and store sale. Overall quality was good with some very good quality runs of heavy feeder steers and heifers on offer. Medium weight feeder cattle were well supplied and, while prices for  plainer light weight cattle struggled, well bred pens of light weight restocker steers saw some improvements. 

Buyers were selective on light weight cattle, aiming for a heavier article, with steers 200 to 280kg selling to 420.2c to average 379c, restocker steers 280 to 330kg also made to 420.2c to average 374c and medium weight steers 330 to 400kg returning to the paddock sold to 390.2c averaging 358c/kg. Medium weight feeder steers sold to 376.2c to average 361c and the return of a heavy feeder operator saw prices to 374.2c to average 364c/kg. 

Light weight restocker heifers struggled compared to the heavier heifer pens with the top price of 320.2c to average 257c while heifers 280 to 330kg sold to 320.2c to average 270c/kg. Competition from the western downs for medium weight heifers to feed saw prices to 312.2c to average 272c and some very good runs of heavy PTE feeder heifers sold to 335.2c averaging 320c/kg.

A limited number of fat cattle were yarded this week, with heavy heifers to the processor making to 305.2c and heavy grown steers selling to 310.2c to average 299c/kg.  The absence of the southern export processors saw medium cows selling to 240.2c to average 226c and good heavy cows over 520kg top at 260.2c to average 255c/kg. Heavy bulls sold to 258.2c/kg.

Market reporter,
Sam Hart."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Restocker,C,2,41,29,226.0,380.0,353.0731707317073,31.1,434.6,730.8,679.0,429.4,722.0,587.4243900950362
Yearling Steer,0-200,Restocker,D,2,42,NQ,150.0,294.0,254.1904761904762,NQ,288.5,565.4,488.8,285.0,558.6,482.9618951706659
Yearling Steer,200-280,Restocker,C,2,602,531,325.0,420.0,378.7059800664452,15.9,625.0,807.7,728.3,715.0,1117.8,913.9830626427533
Yearling Steer,200-280,Restocker,D,2,200,167,154.0,320.0,285.28,21.9,296.2,615.4,548.6,400.4,804.6,697.0944970703125
Yearling Steer,280-330,Restocker,C,2,294,266,344.0,420.0,374.08843537414964,6.9,661.5,807.7,719.4,1029.5,1365.0,1162.6008350605866
Yearling Steer,280-330,Restocker,D,2,129,91,220.0,320.0,283.7519379844961,59.9,423.1,615.4,545.7,677.6,992.0,883.937984496124
Yearling Steer,330-400,Feeder,C,2,407,372,312.0,376.0,360.81081081081084,45.8,600.0,723.1,693.9,1211.0,1445.7,1372.2429889050982
Yearling Steer,330-400,Feeder,D,2,80,30,262.0,262.0,262,22.0,503.8,503.8,503.8,1021.8,1021.8,1021.8
