Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: TRLX Tamworth
Report Date: 14/10/2024
Comparison Date: 
Total Yarding: 2100 (NQ)
Commentary
"With a fortnight between sales the numbers more than doubled. Young cattle were well supplied while apart from cows there was a limited supply of heavy export cattle. The quality of the offering was generally good with some nice lines of restocker and feeder cattle available. Condition varied from fair to very good. The usual buyers were in attendance along with extra domestic trade competition.

Market trends through the young cattle were generally cheaper, reflecting other recent markets. The fortnight break accounting for some significant reductions. Light weight yearling steers to restock were significantly cheaper with only a quality improvement accounting for any increase in price change.The medium weight yearling steers held their values the best with the trend firm to only slightly cheaper. Heavy weight feeder steers saw a quality related improvement on those showing more condition while the balance sold to cheaper trends. The increased competition saw heavy trade sell to a dearer trend. There were cheaper trends for the most part through the yearling heifers with significant price falls recorded. The one exception was a large line of one brand medium weights to a restocker that remained firm. Heavy trade were slightly dearer.

Grown steers to feed sold to. Dearer trend with breed a contributing factor in price change. The heavy steers to process sold to a cheaper trend of 20c to 30c/kg. The cow market saw the biggest falls in the market where prices for all classes were substantially cheaper than a fortnight ago. Heavy bulls sold on a slightly cheaper market trend."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,14,-32,284.0,346.0,315.2857142857143,-52.6,546.2,665.4,606.3,795.2,885.5,837.5071498325893
Yearling Steer,200-280,Restocker,D,2,7,3,200.0,200.0,200,-105.0,400.0,400.0,400.0,480.0,480.0,480
Yearling Steer,280-330,Restocker,C,2,8,-8,294.0,393.0,355.875,28.7,565.4,755.8,684.4,882.0,1179.0,1067.625
Yearling Steer,330-400,Feeder,C,2,60,-37,316.0,375.0,362.3666666666667,-7.4,607.7,721.2,696.9,1200.2,1462.5,1355.2683471679688
Yearling Steer,330-400,Restocker,C,2,86,70,340.0,387.0,373.19767441860466,2.0,653.8,744.2,717.7,1156.0,1548.0,1372.7901185501453
Yearling Steer,400+,Feeder,C,2,124,62,300.0,374.0,355.33870967741933,-15.9,576.9,719.2,683.3,1312.0,1850.0,1575.253205330141
Yearling Steer,400+,Feeder,C,3,56,31,326.0,368.0,358.98214285714283,-9.8,626.9,694.2,669.2,1453.2,1805.0,1642.642826625279
Yearling Steer,400+,Processor,C,3,3,-2,350.0,361.0,357.3333333333333,37.9,648.1,668.5,661.7,1805.0,1855.0,1821.6666666666667
Yearling Steer,400+,Restocker,C,2,2,1,275.0,275.0,275,-35.0,528.8,528.8,528.8,1155.0,1155.0,1155
Yearling Heifer,200-280,Restocker,C,2,39,26,216.0,312.0,280.35897435897436,-28.2,415.4,600.0,539.2,594.0,873.6,770.9128230168269
Yearling Heifer,280-330,Feeder,C,2,5,NQ,300.0,300.0,300,NQ,576.9,576.9,576.9,975.0,975.0,975
