Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Charters Towers
Report Date: 24/04/2024
Comparison Date: 17/04/2024
Total Yarding: 3151 (-634)
Commentary
"Numbers reduced by 634 for a yarding of 3151 cattle.  Quality was good overall, comprising of an increased supply of heavy prime cows and several good lines of store steers and heifers.  A reduced buyer gallery was in attendance - one central processor operated for the first time this year - most regular processors were supported by one live exporter, two feeder buyers and opportunity restockers. Cattle were drawn from Mt Isa to Georgetown, Ingham, Ayr and the local area.

Values for better quality prime cattle were firm to 16c higher, with improved quality and factor, however many store lines met subdued demand, resulting in lower values than last sale, with some pens difficult to sell.

Suitably weaned steers below 200kg to restockers sold to 260c to average 246c, similar heifers returning to the paddock reached 206c to average 198c/kg. Steers above 200kg averaged 289c selling to 294c, similar heifers returning to the paddock averaged 185c/kg. Yearling steers above 200kg returning to the paddock averaged 248c to 265c selling to 290c, steers above 280kg averaged 236 and steers above 330kg averaged 231c/kg. Yearling steers above 400kg  to feed averaged 242c/kg. Yearling heifers above 200kg to restockers averaged 180c to 184c, a good sample of 280kg returning to the paddock topped at 255c to average 223c/kg, while heifers to feed averaged 190c/kg.

A small sample of grown steers to live export made from 250c to 268c, similar steers to feed destined for live export sold to 266c to average 251c/kg. Best quality grown heifers to the trade reached 238c to average 222c/kg.

A small sample of heavy bullocks to processors sold to 252c, most around 230. Medium weight 2 score cows made to 198c to average 194c, 3 score cows sold to 220c to average 197c to 199c/kg.
An increased supply of prime heavyweight cows topped at 240c to average 211c to 217c/kg.

A very small supply of heavy bulls to feed destined for live export averaged 238c/kg.

Market Reporter, Mick Kingham"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,101,94,230.0,290.0,264.7722772277228,10.5,442.3,557.7,509.2,540.5,812.0,667.9376196530786
Yearling Steer,200-280,Restocker,D,2,94,-109,206.0,280.0,247.53191489361703,-43.8,396.2,538.5,476.0,472.5,784.0,616.7627732297208
Yearling Steer,280-330,Feeder,C,2,18,NQ,222.0,238.0,234.44444444444446,NQ,426.9,457.7,450.9,643.8,749.7,726.1666531032986
Yearling Steer,280-330,Feeder,D,2,5,NQ,228.0,238.0,232,NQ,438.5,457.7,446.2,737.8,752.4,746.5600341796875
Yearling Steer,280-330,Restocker,C,2,125,99,222.0,268.0,236.384,-39.3,426.9,515.4,454.6,689.3,857.6,738.2407919921875
Yearling Steer,280-330,Restocker,D,2,34,-17,220.0,224.0,222.7058823529412,-25.3,423.1,430.8,428.3,638.0,649.6,645.8470530790441
Yearling Steer,330-400,Feeder,C,2,25,-5,210.0,254.0,249.68,-0.3,403.8,488.5,480.2,745.5,901.7,890.3
Yearling Steer,330-400,Feeder,D,2,1,-22,164.0,164.0,164,-79.0,321.6,321.6,321.6,557.6,557.6,557.5999755859375
Yearling Steer,330-400,Restocker,C,2,61,26,222.0,238.0,230.88524590163934,-19.3,426.9,457.7,444.0,832.5,870.0,860.6147420914447
Yearling Steer,400+,Feeder,C,2,18,NQ,242.0,242.0,242,NQ,465.4,465.4,465.4,1125.3,1125.3,1125.300021701389
Yearling Steer,400+,Feeder,C,3,2,NQ,252.0,252.0,252,NQ,475.5,475.5,475.5,1096.2,1096.2,1096.199951171875
Yearling Steer,400+,Processor,C,3,2,NQ,220.0,220.0,220,NQ,423.1,423.1,423.1,957.0,957.0,957
Yearling Heifer,0-200,Restocker,D,2,2,-21,124.0,124.0,124,-39.3,238.5,238.5,238.5,235.6,235.6,235.60000610351562
Yearling Heifer,200-280,Feeder,D,2,1,-6,146.0,146.0,146,-40.9,280.8,280.8,280.8,335.8,335.8,335.79998779296875
Yearling Heifer,200-280,Restocker,C,2,11,-16,180.0,180.0,180,-65.6,346.2,346.2,346.2,423.0,423.0,423
Yearling Heifer,200-280,Restocker,D,2,121,-312,120.0,212.0,183.9504132231405,-66.2,230.8,407.7,353.8,252.0,551.2,471.7611659026343
Yearling Heifer,280-330,Feeder,C,2,12,-5,180.0,228.0,189.66666666666666,-17.5,346.2,438.5,364.7,558.0,729.6,587.5999959309896
Yearling Heifer,280-330,Feeder,D,2,43,28,130.0,220.0,189.67441860465115,-22.3,250.0,423.1,364.8,429.0,682.0,587.2046522983285
Yearling Heifer,280-330,Processor,D,2,15,9,150.0,218.0,181.73333333333332,-9.9,288.5,419.2,349.5,495.0,719.4,599.72001953125
Yearling Heifer,280-330,Restocker,C,2,18,14,200.0,200.0,200,-22.0,384.6,384.6,384.6,640.0,640.0,640
Yearling Heifer,280-330,Restocker,D,2,115,101,186.0,255.0,223.1478260869565,19.4,357.7,490.4,429.1,539.4,765.0,687.490434994905
